name trial difficulty fixations accuracy phase hit group
control4 29 679 9 20 before true control
control4 30 679 2 31 before true control
control4 31 679 5 22 before true control
control4 32 679 2 29 before true control
control4 33 669 23 16 before true control
control4 34 669 4 10 before true control
control4 35 669 2 20 before true control
control4 36 669 6 31 before true control
control4 37 659 6 18 before true control
control4 38 659 6 6 before true control
control4 39 659 4 33 before true control
control4 40 649 7 266 before false control
control4 41 700 8 9 training true control
control4 42 700 5 16 training true control
control4 43 700 1 18 training true control
control4 44 700 4 18 training true control
control4 45 690 3 10 training true control
control4 46 690 4 2 training true control
control4 47 690 6 33 training true control
control4 48 679 3 13 training true control
control4 49 679 3 5 training true control
control4 50 679 3 12 training true control
control4 51 669 16 6 training true control
control4 52 669 5 6 training true control
control4 53 669 1 13 training true control
control4 54 669 1 8 training true control
control4 55 659 3 14 training true control
control4 56 659 3 2 training true control
control4 57 659 5 12 training true control
control4 58 649 4 10 training true control
control4 59 649 6 15 training true control
control4 60 649 5 40 training true control
control4 61 639 4 32 training true control
control4 62 639 1 16 training true control
control4 63 639 1 18 training true control
control4 64 629 1 20 training true control
control4 65 629 4 19 training true control
control4 66 629 6 35 training true control
control4 67 619 6 19 training true control
control4 68 619 7 20 training true control
control4 69 619 7 17 training true control
control4 70 619 3 4 training true control
control4 71 619 4 14 training true control
control4 72 619 4 14 training true control
control4 73 609 6 11 training true control
control4 74 609 8 25 training true control
control4 75 609 1 31 training true control
control4 76 609 7 15 training true control
control4 77 609 3 32 training true control
control4 78 609 5 15 training true control
control4 79 609 3 5 training true control
control4 80 599 11 43 training true control
control4 81 599 1 18 training true control
control4 82 599 5 18 training true control
control4 83 599 30 479 training false control
control4 84 599 1 24 training true control
control4 85 599 8 9 training true control
control4 86 599 7 5 training true control
control4 87 599 9 20 training true control
control4 88 609 7 14 training true control
control4 89 609 5 10 training true control
control4 90 609 3 9 training true control
control4 91 609 6 23 training true control
control4 92 599 3 46 training true control
control4 93 599 5 9 training true control
control4 94 599 2 10 training true control
control4 95 589 6 13 training true control
control4 96 589 5 20 training true control
control4 97 589 8 10 training true control
control4 98 589 5 18 training true control
control4 99 589 4 1 training true control
control4 100 589 7 12 training true control
control4 101 589 4 12 training true control
control4 102 589 2 527 training false control
control4 103 589 17 422 training false control
control4 104 589 3 2 training true control
control4 105 589 1 7 training true control
control4 106 589 7 33 training true control
control4 107 589 2 12 training true control
control4 108 589 4 12 training true control
control4 109 589 17 45 training true control
control4 110 589 4 25 training true control
control4 111 589 9 22 training true control
control4 112 589 8 16 training true control
control4 113 589 6 4 training true control
control4 114 589 7 7 training true control
control4 115 589 5 7 training true control
control4 116 589 5 20 training true control
control4 117 589 1 610 training false control
